키워드,제목,출처,요약,원문링크,발행일(KST),수집시각(KST)
고용노동부,우수 사회적기업에 최대 3억원 대출·年2.5%p이자 차액 지원 - MSN,MSN,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMigARBVV95cUxPR2pIS0FYVmwwQzBRejM1TFNwMGtvTWJFSUthaWNmWWozOGhmekotRkd2cHhqRlM0OGhVTmVPaE84b1RGeGxLSWtDS2I4TXc3d1ZzTlJKb1FDcC1qcS0ycE02RXAyM3MtN2UtU2Rnc3FuRlRnNFF0RXo3U19fNk5wNGNqOS1DdGxWWFV3b1VGa0piTTZHQk8wc2g0dmpNUFBsRFZoTzVhaHpZMVdWdXRhVVpoekdJMTJBazlMbmpCTWlrWTFaYVJuOUpQMkFYbHpnZUc4RXJRNG1fdkJWS2xLcHFqLWhuWFBfVmVPdndoX0JIaGVOTHZKYnNfRG03NG9WbEY3eS1qZkJLbmVUYm1YbkRNNTlkRlNialJmTFp6SWU0VzlJamhaU1RYQVlKU2IxTk85RUg0SW13cUNDTjhybG1ZSzA5SURvaTFwbEYtdXpsU0lKeEhMSV82UGRaTlE5cVQxam1aNENEbmhsVzhxLWF6S0p5bGVYNUMxYWhvNXZEZmpOcU9PX21uTHFYWlVHVGRtUzdaTzJ2MHRaM0NHamJJSmNONEJEdlVOdC04cGNRRldsclFidm5Zc2o5ZElyZlFNYnFHUmxpQkljd1lWRFZpX1A5WDE5SEZyYUtVVUVfZk1XbkxQNldkR2VfWXllWjRJemhFTWE3bkUtZU1CZw?oc=5,2026-02-08 14:08,2026-02-09 14:30
한국산업인력공단,"안규백 국회의원, 한국산업인력공단 HRD고객센터 일일 상담원 체험 - 서울Pn",서울Pn,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMigwFBVV95cUxNMXhJc05jMkdNb0RvOEFLd05YbzhkSzBES3l6UDVydGw2cEFpX2F3MW0wYUhoS2FodFlVcTE4UWI1ZnB0eUZHZGFhaTBPVmlMX1VXYzZkZnVhNnBmUEkzWGtaN3VPWnNKWHpiQXp2WEh5ZlhiR1JKQXYyUUx5cGJWc1JIUQ?oc=5,2026-02-08 19:56,2026-02-09 14:30
한국산업인력공단,"산업인력공단, 中企 AI 역량 강화 앞장…AX 성공 모델 구축 [D:로그인] - 데일리안 미디어",데일리안 미디어,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiVkFVX3lxTE94SEI1MmFQVTZHeXR5WV93eTJZSDIwQ3l2N1pFUHVfYmJGUmhpVVJlUEhEZl9xY01vamhJTTVhWVZIdDVRQ0VlMHhwWDdzcDNNZ1dsOTVR0gFYQVVfeXFMT21OblFXdkdOaktnVTVDODdpUGdjOUN1cTdpQWJiUUxhczg5YllGQVRPN1l6N0xYOHlwOTZqWkM2SEN2WU4zRDZlb2NDYXlDSklkVVJvb2t2eQ?oc=5,2026-02-08 22:00,2026-02-09 14:30
한국산업인력공단,"동원과기대, 실무 중심 교육 등 해외취업 연수사업 A등급 획득 - 울산신문",울산신문,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMibkFVX3lxTE01T0FEQ3RuRXlJQlcyQzE2Yzh6Mi1LREg5aEttSVctU0RsWEFJd284cERBWUpfQ3VjSW5rRUxGZTJMQUVKMndxUS0wMG04MnpwUzdUVnFjMjVnRTZ3VDVjRnFRaDFvZHBfUWVZVVpn0gFyQVVfeXFMTU9HYmdwX0FnVG5kc3R4ZWk4OUhGQ1pBdjJFYjBPbTBWUmdNNDJaWlVIVW9IbFlnWGlEQWxlVTQyZ0c1emhqU01PbU90ZEcydHBIcllhTWpzdklGV1A2MG5JdmEzWC1QQ3JKNlNnWEZoYkZn?oc=5,2026-02-08 11:10,2026-02-09 14:30
한국산업인력공단,"공공 시장 외산 VDI 대체...틸론, 한국산업인력공단 수주 - MSN",MSN,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMi-wNBVV95cUxPQ0prVDVUN3hUdklpUXZiX0J2VjVGT014OHBPSjQzaUd3NWt6bUs0aUNGemJIR18tNFZkWTQzdWR6N2xYVDZIVXYtZG9Mdy1laUt1eFFjd09GWEhnR0dYczNKRXppYVlKd2tsdk9JOTY3MUhCX2JIUXpXRFZ2NklIWWZqNmxuazFMRmdBU1RqaEFIT3o5VGV0ZXpSY2ZBVmt5amxaQy1HWjlNZDBHLWlleXlxZHVmVFFOem5yYTg5LXEzMDlOWFlWekpWUU9fdkVhdFBjdW1GaWdEMUk5Y2U4R2RiRzliSHZHV3JZWm9mSzVlOUpOa1VkMzJLZmdZR2FUVndUdU03elFXcm5maW83N1pMS2dNd0tNME5pYzBQVzZtUW9qRG1LY3dzZEczNHpFUGJrYXRLanhuczI4bmRhTUozWktIaDNHbkVDUXRQSW5JUjVvbzVxNWc1ZEZBWWlEOWNWekhiQWNNVnNuOS1LZzF1Rzh6Zk5BZHdvTUNyNHFhNng5cHZrMjNxS0FWTDRnVHVXOG0waFR0YVpBREFJUk1mb1hUVzA4UEpQdTduU0wteGR3bDc0NHJqRXRRZ0Zlb0NtMEJNY1hJTEoxQk5lSkFtQjdWdmNJdlJIRE41RmVTMGM2ZkE3UFFhUVQtLURXd011VmpWLTI3eWc?oc=5,2026-02-08 06:31,2026-02-09 14:30
한국산업인력공단,"홍순식 ""세종의 미래, 정책과 토론으로 만들겠다"" - 굿모닝충청",굿모닝충청,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMickFVX3lxTE1tTHJXRXRnNTd1NFdFTUltX1U5MnNvRUFCYncyN3d3UDN4ZEJnaTFaN1REakJLcnpjT2UzallKYU5vQ2xHY1pQOTdXMHlZR0lJZXpkTmxLaFNoSF9XNnFsTFFTcXM1Q3VmNkFja2o2S2E1Zw?oc=5,2026-02-08 07:06,2026-02-09 14:30
고용노동부,"노동부, 노동계·경영계 협의 체계 강화…한국노총과 노정협의체 발족 - newspim.com",newspim.com,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9ReGhIV28wN3JvMHlLbjJZNTNHZ3pESHozb1hXRzhTRHdkNnEyWG5xeC1NUUUwNGNvemsyYlV3UUVKV1kxa1FMQWFxNmh3aUttcDgxaHBDTTRLQnow?oc=5,2026-02-08 23:33,2026-02-09 14:30
한국산업인력공단,"부산시, ‘2026 중소기업·소상공인 지원사업 통합설명회’ 2월 10일 개최 - 유스연합",유스연합,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9lbW9qSDhURFBaX0NqR2dPbnRJOWRMelBGN1dqdlJ3dF9iOFZ2TnhzMDdKSm9wME9wWm13ZG1ZZ2Q5TDFrOUdYVmZ1ZHlTcEhDcEE?oc=5,2026-02-08 14:23,2026-02-09 14:30
고용노동부,"픽플레이, 고용부 ‘영세사업장 인사노무관리’ 지원 플랫폼 선정 - ebn.co.kr",ebn.co.kr,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiaEFVX3lxTE84TG05RjgtWTcxb0h5aHk1d0NlMEFOeTdOdjZUb3VqcHY3dlVsU2tSaTV6UFpHVFZZN2lhRWRFOXc0TzJLQi1SN2psZi1xcVBHRE5lQk84dElFMFRnR1lHUjhoWmVKMWFa?oc=5,2026-02-08 23:47,2026-02-09 14:30
직업훈련,[수요자 중심 평생교육] ④ 한국 평생교육 체제는 무엇을 다시 설계해야 하나 - 스포트라이트유,스포트라이트유,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiywJBVV95cUxNT0N1RE4yTWFuSHpudnV2WlgtUjNGOEQ3RFd1THVzTVRWbElvT1FlT19mNGN1YVltb29mRHVUbktFRTFGNHRnMTVydkVER28zMVZtbncwMklVczJiN19va0ZGSjcxRGFUSXExLURBbTRQdVAzV3BFTjVOdWFCcl9UYzJPc1ZnUmppWlU0RDJWc044TmhnYW40NF85UW1JZkdYXzEzQUFQa2tXLTBPM2ZJbmtONG14MjBYNlpndGpCbEtudkdfSTRLOUpMWWNxVTFyRFB0WnB6bUlZX1JWbVdZSVJuR01CaU1tMWdFcnVoS2FncWw0R2N4T3RlTlpscUd4QTl0Y0I4S0xQbnpCQmF1dkxka29TaFRqVTdIaUZEbzg2VFhqSDlQblMxaXIxYWRtOU91dUd5SDhqLV85WVlvTDVnNHBHVkpGa19B?oc=5,2026-02-08 13:01,2026-02-09 14:30
직업훈련,"원민경 장관, 설 앞 두고 폭력피해 이주여성 만나 현장의견 청취 - 여성신문",여성신문,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMic0FVX3lxTFBZY2RfQkZfdjlUZ2otZjVQOGZlRlgwZXVBRDdLUENKVUlfUkppWkRfZEI5czkzajlKdktNZlNVY3JYS3pnUmdXN1dGX09DNG9aYW5TWlBzNDgxdi03OWRkcmE0WmpiMDQyMWt2X2ozSlpsQTDSAXNBVV95cUxQWWNkX0JGX3Y5VGdqLWY1UDhmZUZYMGV1QUQ3S1BDSlVJX1JKaVpEX2RCOXM5M2o5SnZLTWZTVWNyWEt6Z1JnVzdXRl9PQzRvWmFuU1pQczQ4MXYtNzlkZHJhNFpqYjA0MjFrdl9qM0pabEEw?oc=5,2026-02-08 10:46,2026-02-09 14:30
직업훈련,호우 피해를 입은 국민의고용 및 생활 안정을 집중 지원하겠습니다. - 서울Pn,서울Pn,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMijAFBVV95cUxPRzhPLS1uZkkwWG55VlE2ME5RbGZUNUpQc1dCMEMtV1ozYzctN2xkcDhJR0dPMGZBZXhubGtRNmp6MlhZMDFpMDNYQzRfTVllUlBnSTVwNWJaVzExZFlPU0tJMTBqQVNHWGdreXhwQWMyN2lqZTdRdG55XzZyOV9KdHQ5VnNTREhNYnNMaw?oc=5,2026-02-08 20:59,2026-02-09 14:30
직업훈련,2026년 광주 ‘경영지원·돌봄’ 인력수요 집중 - 드림투데이,드림투데이,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiakFVX3lxTFBpQXBWNnVSUk5QUzJMY3hBR2RFNmtrcFp5V3pSTTd6SkRiODVPSUdJN3Z2TlhGUGQyOXl6Q0p5RDMyN0dEMnJvOUNJLUtUNWxPR200dVg3S3hfVmlhN29oT3VvRDhlaG5HYUE?oc=5,2026-02-08 15:00,2026-02-09 14:30
직업훈련,시각 장애인을 위한 직업 훈련 분야의 기술적 혁신. - Vietnam.vn,Vietnam.vn,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiigFBVV95cUxNQzBzUUY0VUJyeVdkYTVqazBkaHBzb3RwSnBqbi02aW9pSldEemhfdHotcjhZVTd6bEZmeWd3ejlOYkppNFNyQnZsQnBBa0tMamw1ejFiWExzRV9PT0hsdHRvWVp0YVBwRHFMOW5KSGtGVHNoY1JvckRmZ1UyZXNJajRiTVU1QVJFUXc?oc=5,2026-02-08 10:07,2026-02-09 14:30
직업훈련,경기광역여성새일센터 지원 직업훈련 4개 과정 공모 최종 선정 - 서울와이어,서울와이어,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMibEFVX3lxTE9wQkFMcE04U0FheGJ1NWN2UEp6RTdDckZKdmxPNjduWmFjWVJCc182WF9zQ1J5V04zZ1NuYUE3S3FzV3NxYWdoRGpQYm8wdkV3VzM2XzB3dmRQNnBEeEE0S01LYnRfZ3ZkTlRpWQ?oc=5,2026-02-08 22:39,2026-02-09 14:30
일학습병행,[인터뷰] “피부미용은 누군가의 삶에 자신감을 회복시키는 기술” 장정현 동의과학대 의료피부미용과 교수 - 부산일보,부산일보,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMidEFVX3lxTFB6amdocGlnVXFUeHFSYnpXWVNEWDh5ZW9NSHYtRFBtc19iRi1MS2JhSVRoYWlVZGttVEkwYThSeTBfTFhpTkpHbEZ4TzdSLXc4MTNfOEFqb01DYXpoTDdpMUtYMXI1UUV6cU0ySnRJM1JLMkxo?oc=5,2026-02-08 09:04,2026-02-09 14:30
일학습병행,"한국폴리텍 항공캠퍼스, 제24회 학위수여식 개최 - 뉴스사천",뉴스사천,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiakFVX3lxTE5YbEtYdGRCS3RKRGNCbGxKNFd3ZDhaSnpYMUVyVW5XZV8ycEtMSERUU3NZeHZUblJvWDZzOWVjY2ExeDBHWGhQR0E5M3lCRV9zM3dCYWdJTl9qUXFteDJRcDREcGxhOWhkSVE?oc=5,2026-02-08 07:33,2026-02-09 14:30
일학습병행,경남대 취업률 60.4%…부·울·경 4년제 대학 중 최고 기록 - 네이트,네이트,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1KR0d1aWNSZTZyZ2pjbVZzS0QyTE5QT3Blenh6Q2FDUzQ2a2ZBLXhsNTFzVVV5Wll6am1iWXE0YWEwQ2k0dGhHREVoS0lIR0pya3VVSmhoTWlmOGVPRFNSTg?oc=5,2026-02-08 16:57,2026-02-09 14:30
일학습병행,도제도약지구 지정... 경북·인천·충남의 청년 인재 양성 프로젝트 확대 - 공감신문,공감신문,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5pOGY0THZoYXdOUlhtZmNvbmxsaTdIa1RRSXZKQkNUMGdDSzFVb3QxUlhCZzNKQTRySmp2TFI0RkhDMDVrbjNLbW9IbWNzbk5WaG40S2Z5OXZDV1dCaDFpU3JRVElSMDAt?oc=5,2026-02-08 06:07,2026-02-09 14:30
일학습병행,"경북전문대, TK 유일 외국인 유학생 지역 정착형 요양보호 전문인력 육성 - hidomin.com",hidomin.com,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiakFVX3lxTFAzaVVjWC1Hbmk4clQwNkhUSE5MWkhFeDk1RnJqVzJyMndQdWQ0UXIwY2lsT2VqWVEyR3VwSkoxSEtLb1V0ZjNkeFVXaVJFMi1fcDBCZm5EdmhWTDVDcUJ5WGNoU21wQW1pQXc?oc=5,2026-02-08 09:52,2026-02-09 14:30
일학습병행,"노동부, 일학습병행 도제도약지구 3곳 신규 선정 - 브릿지경제",브릿지경제,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBCczA5c3hFMjJDQzBSR3hReTdZRWRXeVJiZlFDcGlhcG9ZMHliS1ljRUNRMnlueVFOMU5XVHlVWW41bmZjaWU2dUVhbENuV2tGYWRwbUhWMEJWUQ?oc=5,2026-02-08 06:52,2026-02-09 14:30
고용노동부,국가데이터처 ; 고용노동부 ; 국가보훈부 - 한국경제,한국경제,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5PdmlCYkZVVDB3bGppWVJIQkV0a2dMWTBtUmxQWmNUQnJkMTVLemE0T2txbjZHc3VBTEluVTdwNlkxQVd5RXZPZzczdnJSak9WczAwatIBVEFVX3lxTE5PdmlCYkZVVDB3bGppWVJIQkV0a2dMWTBtUmxQWmNUQnJkMTVLemE0T2txbjZHc3VBTEluVTdwNlkxQVd5RXZPZzczdnJSak9WczAwag?oc=5,2026-02-08 08:40,2026-02-09 14:30
고용노동부,[인사]고용노동부 外 - 동아일보,동아일보,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMidEFVX3lxTE1Nb0tubndlSHVxNVVHdEZNZ3hHMkVPN2ljT2FBTTI0enZCSVdqS1JwengxZjRpTmdfTlRDQ0kxdzZ1Z0tMTTJRNEJDY3hlbVNMbXByVGpTcFIyejRpQjdVWWg1Q0dMOFdMc09nZmxmaFVLWUM10gFmQVVfeXFMUGtYc254SFU4YUl2REkxVDBjS3cwWHpYelpDN2RYODY1cTljYllCNDV1bFhTN0VTbVNMa0ZJMGo1X1k0Y2Y1bWM3amVsMGR6U2kwOVpIaHl1dFNFZzlzWEV0aklXZ2pB?oc=5,2026-02-08 19:30,2026-02-09 14:30
한국산업인력공단,"공인중개사 자격시험, 지원자 줄고 합격률은 높아져",,"이번 제36회 공인중개사 자격증 합격 여부는 한국산업인력공단 큐넷 누리집에서 확인할 수 있으며, 자격증은 택배 또는 방문으로 받을 수 있다. 경북에서 방문 수령을 원하면 다음달 15~17일 신분증을 갖고... ",https://n.news.naver.com/mnews/article/003/0013629499?sid=102,2025-11-30 09:32,2025-12-01 15:00
